Volatility 3 Framework 2.28.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0xfa8000ca0040	79	509	N/A	False	2019-06-29 07:28:07.000000 UTC	N/A	Disabled
256	4	smss.exe	0xfa80014af950	3	32	N/A	False	2019-06-29 07:28:07.000000 UTC	N/A	Disabled
328	320	csrss.exe	0xfa8001c57b30	11	385	0	False	2019-06-29 07:28:14.000000 UTC	N/A	Disabled
376	368	csrss.exe	0xfa8000ca8960	7	200	1	False	2019-06-29 07:28:15.000000 UTC	N/A	Disabled
384	320	wininit.exe	0xfa8001c6f760	3	75	0	False	2019-06-29 07:28:15.000000 UTC	N/A	Disabled
412	368	winlogon.exe	0xfa8001c751f0	6	119	1	False	2019-06-29 07:28:15.000000 UTC	N/A	Disabled
472	384	services.exe	0xfa8001bc1b30	13	193	0	False	2019-06-29 07:28:17.000000 UTC	N/A	Disabled
480	384	lsass.exe	0xfa8001cb5940	8	582	0	False	2019-06-29 07:28:17.000000 UTC	N/A	Disabled
488	384	lsm.exe	0xfa8001cc1b30	12	187	0	False	2019-06-29 07:28:17.000000 UTC	N/A	Disabled
580	472	svchost.exe	0xfa8001d02b30	11	358	0	False	2019-06-29 07:28:21.000000 UTC	N/A	Disabled
640	472	VBoxService.ex	0xfa8001d30b30	14	137	0	False	2019-06-29 07:28:21.000000 UTC	N/A	Disabled
708	472	svchost.exe	0xfa8001d43a70	7	260	0	False	2019-06-29 07:28:22.000000 UTC	N/A	Disabled
804	472	svchost.exe	0xfa8001dacb30	19	393	0	False	2019-06-29 07:28:23.000000 UTC	N/A	Disabled
840	472	svchost.exe	0xfa8001db9b30	21	431	0	False	2019-06-29 07:28:24.000000 UTC	N/A	Disabled
864	472	svchost.exe	0xfa8001dc6850	37	917	0	False	2019-06-29 07:28:24.000000 UTC	N/A	Disabled
952	804	audiodg.exe	0xfa8001df1060	7	131	0	False	2019-06-29 07:28:26.000000 UTC	N/A	Disabled
220	472	svchost.exe	0xfa8001e1b890	16	323	0	False	2019-06-29 07:28:27.000000 UTC	N/A	Disabled
484	472	svchost.exe	0xfa8001e45630	18	376	0	False	2019-06-29 07:28:29.000000 UTC	N/A	Disabled
1132	472	spoolsv.exe	0xfa8001eaab30	15	286	0	False	2019-06-29 07:28:32.000000 UTC	N/A	Disabled
1176	472	svchost.exe	0xfa8001ed7b30	21	307	0	False	2019-06-29 07:28:33.000000 UTC	N/A	Disabled
1276	472	svchost.exe	0xfa8001f452e0	14	220	0	False	2019-06-29 07:28:34.000000 UTC	N/A	Disabled
1804	472	taskhost.exe	0xfa8001f81b30	10	161	1	False	2019-06-29 07:28:42.000000 UTC	N/A	Disabled
1824	864	taskeng.exe	0xfa8001ff9630	6	82	0	False	2019-06-29 07:28:42.000000 UTC	N/A	Disabled
1908	840	dwm.exe	0xfa80020bbb30	5	77	1	False	2019-06-29 07:28:43.000000 UTC	N/A	Disabled
1944	1872	explorer.exe	0xfa80020f7b30	37	854	1	False	2019-06-29 07:28:44.000000 UTC	N/A	Disabled
1592	1944	VBoxTray.exe	0xfa80021abab0	13	141	1	False	2019-06-29 07:28:53.000000 UTC	N/A	Disabled
1068	472	SearchIndexer.	0xfa8002201ab0	13	710	0	False	2019-06-29 07:28:58.000000 UTC	N/A	Disabled
1696	1068	SearchProtocol	0xfa800226e910	7	225	1	False	2019-06-29 07:29:02.000000 UTC	N/A	Disabled
1688	1068	SearchFilterHo	0xfa8002279890	5	78	0	False	2019-06-29 07:29:02.000000 UTC	N/A	Disabled
2076	580	dllhost.exe	0xfa8002292b30	13	260	1	False	2019-06-29 07:29:02.000000 UTC	N/A	Disabled
2272	2008	GoogleCrashHan	0xfa80022f0610	7	99	0	True	2019-06-29 07:29:08.000000 UTC	N/A	Disabled
2284	2008	GoogleCrashHan	0xfa80022f6b30	7	93	0	False	2019-06-29 07:29:08.000000 UTC	N/A	Disabled
2624	1944	DumpIt.exe	0xfa80020a4420	3	45	1	True	2019-06-29 07:29:25.000000 UTC	N/A	Disabled
2636	376	conhost.exe	0xfa8002320350	3	50	1	False	2019-06-29 07:29:25.000000 UTC	N/A	Disabled
2700	2692	csrss.exe	0xfa8001cac460	7	164	2	False	2019-06-29 07:29:30.000000 UTC	N/A	Disabled
2728	2692	winlogon.exe	0xfa8002330060	6	121	2	False	2019-06-29 07:29:30.000000 UTC	N/A	Disabled
2976	472	taskhost.exe	0xfa8000e54b30	9	160	2	False	2019-06-29 07:29:36.000000 UTC	N/A	Disabled
3000	840	dwm.exe	0xfa8000e62b30	5	76	2	False	2019-06-29 07:29:36.000000 UTC	N/A	Disabled
3012	2992	explorer.exe	0xfa8000eaeb30	28	677	2	False	2019-06-29 07:29:36.000000 UTC	N/A	Disabled
2384	3012	VBoxTray.exe	0xfa8000eeeb30	14	144	2	False	2019-06-29 07:29:37.000000 UTC	N/A	Disabled
2432	3012	StikyNot.exe	0xfa8000f18b30	10	137	2	False	2019-06-29 07:29:37.000000 UTC	N/A	Disabled
