Volatility 3 Framework 2.28.0

PID	Process	Block	Variable	Value

256	smss.exe	0x141430	Path	C:\Windows\System32
256	smss.exe	0x141430	SystemDrive	C:
256	smss.exe	0x141430	SystemRoot	C:\Windows
328	csrss.exe	0x3518f0	ComSpec	C:\Windows\system32\cmd.exe
328	csrss.exe	0x3518f0	FP_NO_HOST_CHECK	NO
328	csrss.exe	0x3518f0	NUMBER_OF_PROCESSORS	1
328	csrss.exe	0x3518f0	OS	Windows_NT
328	csrss.exe	0x3518f0	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
328	csrss.exe	0x3518f0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
328	csrss.exe	0x3518f0	PROCESSOR_ARCHITECTURE	AMD64
328	csrss.exe	0x3518f0	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 142 Stepping 9, GenuineIntel
328	csrss.exe	0x3518f0	PROCESSOR_LEVEL	6
328	csrss.exe	0x3518f0	PROCESSOR_REVISION	8e09
328	csrss.exe	0x3518f0	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
328	csrss.exe	0x3518f0	SystemDrive	C:
328	csrss.exe	0x3518f0	SystemRoot	C:\Windows
328	csrss.exe	0x3518f0	TEMP	C:\Windows\TEMP
328	csrss.exe	0x3518f0	TMP	C:\Windows\TEMP
328	csrss.exe	0x3518f0	USERNAME	SYSTEM
328	csrss.exe	0x3518f0	windir	C:\Windows
328	csrss.exe	0x3518f0	windows_tracing_flags	3
328	csrss.exe	0x3518f0	windows_tracing_logfile	C:\BVTBin\Tests\installpackage\csilogfile.log
376	csrss.exe	0x4618f0	ComSpec	C:\Windows\system32\cmd.exe
376	csrss.exe	0x4618f0	FP_NO_HOST_CHECK	NO
376	csrss.exe	0x4618f0	NUMBER_OF_PROCESSORS	1
376	csrss.exe	0x4618f0	OS	Windows_NT
376	csrss.exe	0x4618f0	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
376	csrss.exe	0x4618f0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
376	csrss.exe	0x4618f0	PROCESSOR_ARCHITECTURE	AMD64
376	csrss.exe	0x4618f0	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 142 Stepping 9, GenuineIntel
376	csrss.exe	0x4618f0	PROCESSOR_LEVEL	6
376	csrss.exe	0x4618f0	PROCESSOR_REVISION	8e09
376	csrss.exe	0x4618f0	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
376	csrss.exe	0x4618f0	SystemDrive	C:
376	csrss.exe	0x4618f0	SystemRoot	C:\Windows
376	csrss.exe	0x4618f0	TEMP	C:\Windows\TEMP
376	csrss.exe	0x4618f0	TMP	C:\Windows\TEMP
376	csrss.exe	0x4618f0	USERNAME	SYSTEM
376	csrss.exe	0x4618f0	windir	C:\Windows
376	csrss.exe	0x4618f0	windows_tracing_flags	3
376	csrss.exe	0x4618f0	windows_tracing_logfile	C:\BVTBin\Tests\installpackage\csilogfile.log
384	wininit.exe	0x2c18f0	ALLUSERSPROFILE	C:\ProgramData
384	wininit.exe	0x2c18f0	CommonProgramFiles	C:\Program Files\Common Files
384	wininit.exe	0x2c18f0	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
384	wininit.exe	0x2c18f0	CommonProgramW6432	C:\Program Files\Common Files
384	wininit.exe	0x2c18f0	COMPUTERNAME	2PAC
384	wininit.exe	0x2c18f0	ComSpec	C:\Windows\system32\cmd.exe
384	wininit.exe	0x2c18f0	FP_NO_HOST_CHECK	NO
384	wininit.exe	0x2c18f0	NUMBER_OF_PROCESSORS	1
384	wininit.exe	0x2c18f0	OS	Windows_NT
384	wininit.exe	0x2c18f0	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
384	wininit.exe	0x2c18f0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
384	wininit.exe	0x2c18f0	PROCESSOR_ARCHITECTURE	AMD64
384	wininit.exe	0x2c18f0	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 142 Stepping 9, GenuineIntel
384	wininit.exe	0x2c18f0	PROCESSOR_LEVEL	6
384	wininit.exe	0x2c18f0	PROCESSOR_REVISION	8e09
384	wininit.exe	0x2c18f0	ProgramData	C:\ProgramData
384	wininit.exe	0x2c18f0	ProgramFiles	C:\Program Files
384	wininit.exe	0x2c18f0	ProgramFiles(x86)	C:\Program Files (x86)
384	wininit.exe	0x2c18f0	ProgramW6432	C:\Program Files
384	wininit.exe	0x2c18f0	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
384	wininit.exe	0x2c18f0	PUBLIC	C:\Users\Public
384	wininit.exe	0x2c18f0	SystemDrive	C:
384	wininit.exe	0x2c18f0	SystemRoot	C:\Windows
384	wininit.exe	0x2c18f0	TEMP	C:\Windows\TEMP
384	wininit.exe	0x2c18f0	TMP	C:\Windows\TEMP
384	wininit.exe	0x2c18f0	USERNAME	SYSTEM
384	wininit.exe	0x2c18f0	USERPROFILE	C:\Windows\system32\config\systemprofile
384	wininit.exe	0x2c18f0	windir	C:\Windows
384	wininit.exe	0x2c18f0	windows_tracing_flags	3
384	wininit.exe	0x2c18f0	windows_tracing_logfile	C:\BVTBin\Tests\installpackage\csilogfile.log
412	winlogon.exe	0x3b18f0	ALLUSERSPROFILE	C:\ProgramData
412	winlogon.exe	0x3b18f0	CommonProgramFiles	C:\Program Files\Common Files
412	winlogon.exe	0x3b18f0	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
412	winlogon.exe	0x3b18f0	CommonProgramW6432	C:\Program Files\Common Files
412	winlogon.exe	0x3b18f0	COMPUTERNAME	2PAC
412	winlogon.exe	0x3b18f0	ComSpec	C:\Windows\system32\cmd.exe
412	winlogon.exe	0x3b18f0	FP_NO_HOST_CHECK	NO
412	winlogon.exe	0x3b18f0	NUMBER_OF_PROCESSORS	1
412	winlogon.exe	0x3b18f0	OS	Windows_NT
412	winlogon.exe	0x3b18f0	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
412	winlogon.exe	0x3b18f0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
412	winlogon.exe	0x3b18f0	PROCESSOR_ARCHITECTURE	AMD64
