Volatility 3 Framework 2.28.0

PID	Process	Offset	HandleValue	Type	GrantedAccess	Name

2624	DumpIt.exe	0xf8a001fe4530	0x4	Key	0x9	MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\IMAGE FILE EXECUTION OPTIONS
2624	DumpIt.exe	0xf8a000214d30	0x8	Directory	0x3	KnownDlls
2624	DumpIt.exe	0xf8a0059b5720	0xc	Directory	0x3	KnownDlls32
2624	DumpIt.exe	0xfa8002339d10	0x10	File	0x100020	\Device\HarddiskVolume2\Windows
2624	DumpIt.exe	0xf8a001f60470	0x14	Key	0x9	MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\IMAGE FILE EXECUTION OPTIONS
2624	DumpIt.exe	0xf8a0059b5720	0x18	Directory	0x3	KnownDlls32
2624	DumpIt.exe	0xfa80013ffcb0	0x1c	File	0x100020	\Device\HarddiskVolume2\Users\eminem\Desktop\DumpIt
2624	DumpIt.exe	0xfa80014688c0	0x20	Event	0x1f0003	-
2624	DumpIt.exe	0xf8a001fd2fa0	0x24	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\SORTING\VERSIONS
2624	DumpIt.exe	0xfa80023308c0	0x28	ALPC Port	0x1f0001	-
2624	DumpIt.exe	0xfa80015a69e0	0x2c	ALPC Port	0x1f0001	-
2624	DumpIt.exe	0xfa80022d75c0	0x30	Semaphore	0x100003	-
2624	DumpIt.exe	0xfa80022d7540	0x34	Semaphore	0x100003	-
2624	DumpIt.exe	0xfa8001469c90	0x38	Mutant	0x1f0001	-
2624	DumpIt.exe	0xf8a001fd3bb0	0x3c	Key	0xf003f	MACHINE
2624	DumpIt.exe	0xfa8001469c10	0x40	Event	0x1f0003	-
2624	DumpIt.exe	0xf8a001fd59f0	0x44	Key	0x1	MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER
2624	DumpIt.exe	0xfa80013fdb50	0x48	EtwRegistration	0x804	-
2624	DumpIt.exe	0xfa8001469060	0x4c	Event	0x21f0003	-
2624	DumpIt.exe	0xfa8001c84970	0x50	WindowStation	0xf037f	WinSta0
2624	DumpIt.exe	0xfa8001ca37d0	0x54	Desktop	0xf01ff	Default
2624	DumpIt.exe	0xfa8001c84970	0x58	WindowStation	0xf037f	WinSta0
2624	DumpIt.exe	0xfa8001469650	0x5c	EtwRegistration	0x804	-
2624	DumpIt.exe	0xfa8001469590	0x60	EtwRegistration	0x804	-
2624	DumpIt.exe	0xfa80022d5060	0x64	Event	0x1f0003	-
2624	DumpIt.exe	0xf8a001fd22b0	0x68	Token	0x28	-
2624	DumpIt.exe	0xfa80022befe0	0x6c	Event	0x1f0003	-
2624	DumpIt.exe	0xfa800200b060	0x70	Event	0x1f0003	-
2624	DumpIt.exe	0xfa8001467110	0x74	EtwRegistration	0x804	-
2624	DumpIt.exe	0xfa8002005360	0x78	EtwRegistration	0x804	-
2624	DumpIt.exe	0xfa8001fe4130	0x7c	Event	0x1f0003	-
2624	DumpIt.exe	0xfa80023234e0	0x80	Thread	0x1fffff	Tid 2628 Pid 2624
2624	DumpIt.exe	0xfa800135f2f0	0x84	ALPC Port	0x1f0001	-
2624	DumpIt.exe	0xfa8001ead190	0x88	IoCompletion	0x1f0003	-
2624	DumpIt.exe	0xfa80022b1be0	0x8c	TpWorkerFactory	0xf00ff	-
2624	DumpIt.exe	0xf8a002386060	0x90	KeyedEvent	0xf0003	-
2624	DumpIt.exe	0xfa8001df6060	0x94	Timer	0x100002	-
2624	DumpIt.exe	0xfa80022c09a0	0x98	Timer	0x1f0003	-
2624	DumpIt.exe	0xfa8002317460	0x9c	Thread	0x1fffff	Tid 2576 Pid 2624
2624	DumpIt.exe	0xfa8002317460	0xa0	Thread	0x1fffff	Tid 2576 Pid 2624
2624	DumpIt.exe	0xfa8000da7900	0xa4	IoCompletion	0x1f0003	-
2624	DumpIt.exe	0xfa800146e940	0xa8	TpWorkerFactory	0xf00ff	-
2624	DumpIt.exe	0xfa800220c240	0xac	Timer	0x100002	-
2624	DumpIt.exe	0xf8a00224dfa0	0xb0	Key	0x1	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\CUSTOMLOCALE
2624	DumpIt.exe	0xfa80022b08d0	0xb4	File	0x1f01ff	\Device\DumpIt
